"邦克山号","CG52","SH-60B反潜直升机","","","","","","",""
"莫比尔湾号","CG53","SH-60B反潜直升机","","","","","","",""
"安提坦号","CG54","SH-60B反潜直升机","","","","","","",""
"莱特湾号","CG55","SH-60B反潜直升机","","","","","","",""
"圣哈辛托号","CG56","SH-60B反潜直升机","","","","","","",""
"张伯伦湖号","CG57","SH-60B反潜直升机","","","","","","",""
"菲律宾海号","CG58","SH-60B反潜直升机","","","","","","",""
"普林斯顿号","CG59","SH-60B反潜直升机","","","","","","",""
"诺曼底号","CG60","SH-60B反潜直升机","","","","","","",""
"蒙特里号","CG61","SH-60B反潜直升机","","","","","","",""
"切斯劳维尔号","CG62","SH-60B反潜直升机","","","","","","",""
"考彭斯号","CG63","SH-60B反潜直升机","","","","","","",""
"葛底斯堡号","CG64","SH-60B反潜直升机","","","","","","",""
"乔辛号","CG65","SH-60B反潜直升机","","","","","","",""
"顺化市号","CG66","SH-60B反潜直升机","","","","","","",""
"希洛号","CG67","SH-60B反潜直升机","","","","","","",""
"安齐奥号","CG68","SH-60B反潜直升机","","","","","","",""
"维克斯堡号","CG69","SH-60B反潜直升机","","","","","","",""
"伊利湖号","CG70","SH-60B反潜直升机","","","","","","",""
"圣乔治角号","CG71","SH-60B反潜直升机","","","","","","",""
"维拉湾号","CG72","SH-60B反潜直升机","","","","","","",""
"皇家港号","CG73","SH-60B反潜直升机","","","","","","",""
"尼米兹号","CVN68","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"艾森豪威尔号","CVN69","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"卡尔文森号","CVN70","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"西奥多·罗斯福号","CVN71","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"亚布拉罕·林肯号","CVN72","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"乔治·华盛顿号","CVN73","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"斯坦尼斯号","CVN74","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"杜鲁门号","CVN75","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"里根号","CVN76","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"布什号","CVN77","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","","",""
"杰拉德·R·福特号","CVN78","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","F-35C战斗机","",""
"约翰·肯尼迪号","CVN79","F/A-18E/F战斗机","EA-18G电子战机","E-2D预警机","MH-60直升机","C-2A运输机","F-35C战斗机","",""
"基德号","DDG100","SH-60B反潜直升机","","","","","","",""
"朱姆沃尔特号","DDG1000","MH-60R反潜直升机","","","","","","",""
"麦可·蒙苏尔号","DDG1001","MH-60R反潜直升机","","","","","","",""
"林登·约翰逊号","DDG1002","MH-60R反潜直升机","","","","","","",""
"格里德利号","DDG101","SH-60B反潜直升机","","","","","","",""
"桑普森号","DDG102","SH-60B反潜直升机","","","","","","",""
"特鲁斯顿号","DDG103","SH-60B反潜直升机","","","","","","",""
"斯特雷特号","DDG104","SH-60B反潜直升机","","","","","","",""
"杜威号","DDG105","SH-60B反潜直升机","","","","","","",""
"史托戴尔号","DDG106","SH-60B反潜直升机","","","","","","",""
"格雷夫利号","DDG107","SH-60B反潜直升机","","","","","","",""
"韦恩·E·迈耶号","DDG108","SH-60B反潜直升机","","","","","","",""
"贾森·邓汉号","DDG109","SH-60B反潜直升机","","","","","","",""
"威廉·P·劳伦斯号","DDG110","SH-60B反潜直升机","","","","","","",""
"斯普鲁恩斯号","DDG111","SH-60B反潜直升机","","","","","","",""
"迈克尔·墨菲号","DDG112","SH-60B反潜直升机","","","","","","",""
"约翰·芬号","DDG113","SH-60B反潜直升机","","","","","","",""
"拉夫·詹森号","DDG114","SH-60B反潜直升机","","","","","","",""
"拉斐尔·比拉达号","DDG115","SH-60B反潜直升机","","","","","","",""
"汤马士·哈德拿号","DDG116","SH-60B反潜直升机","","","","","","",""
"保罗·伊格内修斯号","DDG117","SH-60B反潜直升机","","","","","","",""
"阿利·伯克号","DDG51","SH-60B反潜直升机","","","","","","",""
"巴里号","DDG52","SH-60B反潜直升机","","","","","","",""
"约翰·保罗·琼斯号","DDG53","SH-60B反潜直升机","","","","","","",""
"柯蒂斯·威尔伯号","DDG54","SH-60B反潜直升机","","","","","","",""
"斯托特号","DDG55","SH-60B反潜直升机","","","","","","",""
"约翰·麦凯恩号","DDG56","SH-60B反潜直升机","","","","","","",""
"米切尔号","DDG57","SH-60B反潜直升机","","","","","","",""
"拉布恩号","DDG58","SH-60B反潜直升机","","","","","","",""
"拉塞尔号","DDG59","SH-60B反潜直升机","","","","","","",""
