Rick Yang,［新聞］美軍在南海上發射了導彈！ #更新，18:15 #更新 消息來源（美國??第七艦隊FB官網）  https://m.facebook.com/story.php?story_fbid=10158147635887402&id=54808967401  阿利·伯克（Arleigh Burke）級導彈驅逐艦巴里-DDG 52今日在南海上發射了導彈！  看來不止金小胖會射導彈，美帝更誇張，直接在中國的門口射了導彈。官網上還例行性的表示，本次導彈發射是維護印太地區的區域安全與穩定。  ?感想： 看來美國老爸真的很生氣，氣到在中國門口示威。看來東亞局勢已經隨著疫情蔓延而開始升溫了！  航母在南海待命已經不是新鮮事，所以本次沒註明。  以上，有錯請幫忙指正！,1861,2020-03-23T15:57:37.000+08:00,,第七舰队
Rick Yang,［快訊］美國航母羅斯福號及美利堅號在南海上演習。  #更新，19:06 ??剛剛第七艦隊官網再多一組發文，是有關核生化的演習！  內文很有趣的是，演習期間是從3月15日至3月18日，但剛剛才在第七艦隊官網上宣布。  補充： 據傳花蓮401聯隊約在下午3:30許有戰機緊急升空、新竹499聯隊也在半小時後傳出戰機升空。而後，美國官網跟著公布演習訊息！  ?感想： 台美關係大突破，AIT處長跟我國外交部長的簽署外交文件根本是大大刺激著中國。  #我猜是中國軍機又繞台了 Photos from Rick Yang's post,64,2020-03-18T16:57:04.000+08:00,,第七舰队
福佳與林忌創作,這是明顯向中國提出警告，不要以為美國受疫情所苦，就會在東亞問題上放軟手腳，中共內部那些「借機攻台轉移視線」幻想，最好諗清楚，係咪要打第三次世界大戰，美國絕對會出兵 【挑釁北京？】美艦首次南海演習射導彈 台立委猜測：中共內部或生變 中美在南海角力，再起波瀾！美國第七艦隊今日在facebook發文指出，美軍一艘導彈驅逐艦正在印太地區支援行動，並在實彈訓練中發射一枚導彈。這是美軍首次在南海發射導彈，並且離美國總統特朗普宣佈與中國國家主席習近平....,62,2020-03-24T00:50:05.000+08:00,,第七舰队
Rick Yang,#今日南海 #美軍在美國疫情惡化後 #第七艦隊在南海集結，#狂拍團體編隊照！  共計成員有羅斯福號航空母艦（CVN 71），兩棲攻擊艦美利堅號（LHA 6），兩棲運輸船塢綠灣號（LPD 20），導彈巡洋艦邦克山號（CG 52） ）和阿利·伯克（Arleigh Burke）級導彈巡洋艦拉賽爾號（DDG-59）。  基本上，這種編制已經是地表上最強的武力，足以面對任何突發狀況作出應變的戰力！  但美國海軍第七艦隊官網很故意，明明在南海耀武揚威逛大街、集結大拍團體照，卻將在中國南海升美國國旗的照片偷偷放在最後一張，真的是說不出來的機掰！（所以我偏要放到第一張XD)  以上，有錯請幫忙指正！  #川普就已經很機掰 #結果美軍在南海更機掰 Photos from Rick Yang's post,40,2020-03-22T15:34:55.000+08:00,,第七舰队
Rick Yang,#深夜廢文區 #台灣在選前仍是美軍高度警戒區  如同一週前預測，東亞區域目前分別有雷根號、美利堅號以及23號剛進入南海的林肯號。  雷根號與美利堅號仍在日本放聖誕節。 林肯號表定是要回加州聖地牙哥港，但任務上是「支援第七艦隊防區」，「維持亞太區域安全及穩定」（下圖為林肯號在南海上進行補給作業）  ?感想： 1，和平是建構在武力之上，而非來自獨裁者的慈悲，台灣人以爲的和平繁榮，事實上是取決於美軍的軍事體系在爲各位負重前行，維護東亞區域穩定，當然，還包函美國利益。  2，美國進一步釋出善意，最近其實影響相當深遠的台美FTA終於提上議程。國防方面，美軍將以改造台灣營級的方式加深台美軍事交流（指導）、每年要求國務院（制度化）向國會報告協助台灣對抗反滲透並提出以及採取何種作爲的報告、並特別針對2020總統大選須在選後45天內提出報告，協助台灣建立起對抗外來勢力影響選舉的能力，並要求美國國防部長在180天內提交設立一個「美台高級別跨部會工作組」的報告。  3，看到上述的來自美國種種援助，項項緊扣著中國滲透問題，其實代表著台灣被滲透的狀況是比我們想像中的更嚴重，而且，這麼重要的主權抗中議題，多次被轉移，某程度來講，是真的也在印證台灣問題頗為嚴重。  某群台灣人老是以爲台灣被美國拋棄，但你實際上卻被美國保護得好好的卻不自知！看看南韓被美國整得多慘，沒比較是真的沒傷害。  以上，講個笑話  #留過美的軍人會認爲敢對抗美國的是智障 #沒受美軍洗禮的則自以爲解放軍可抗衡美軍 #偏偏台灣人的認知是後者居多！笑死！ Photos from Rick Yang's post,35,2019-12-25T04:49:59.000+08:00,,第七舰队
Tony Choi,【挑釁北京？】美艦首次南海演習射導彈 台立委猜測：中共內部或生變 中美在南海角力，再起波瀾！美國第七艦隊今日在facebook發文指出，美軍一艘導彈驅逐艦正在印太地區支援行動，並在實彈訓練中發射一枚導彈。這是美軍首次在南海發射導彈，並且離美國總統特朗普宣佈與中國國家主席習近平....,20,2020-03-24T01:33:24.000+08:00,,第七舰队
李東昇,又帥又漂亮！美國空軍上尉飛行員齊巴特（Melanie Ziebart）出身軍旅世家，目前轉調到部署於印太地區的美利堅號兩棲突擊艦（USS America）駕駛最新型的F-35B戰鬥機，而美利堅號近來多次航行南海並起降F-35，震懾對南海諸島充滿野心的中國。  美國第七艦隊指出，齊巴特的父親是駐韓美軍群山空軍基地第35戰鬥中隊F-16的飛行員；母親從美國空軍學院首屆女軍官班級畢業後，先是成為T-37鳴鳥式教練機的教官，後來則駕駛KC-135同溫層加油機，是女性參與空軍的先驅。  齊巴特說，她始終在仰望自己的母親，就算是當時男人認為女人不能當飛行員，也完全阻止不了母親往前邁進。齊巴特表示，媽媽的積極和決心鼓勵她進入空軍，並證明了駕駛艙內的性別無關緊要。  齊巴特回憶，小時候某天父母帶她去參加了空軍學院的足球比賽，她看到天空中風馳電掣的雷鳥中隊，激發出她對於飛行的熱情，再加上父母的啟發，讓她下定決心成為1名戰鬥機飛行員。  隨著年齡的增長，齊巴特持續朝著自己的童年目標邁進。在南加州大學就讀的時期，齊巴特加入美國ROTC儲備軍官訓練團，並成為航空隊傑出畢業生和年度最佳學員。  結束大學學業後，齊巴特被選中參加德州謝巴德空軍基地北約噴射機飛行員培訓計畫，在那裡，她成為了正式飛行員，並選擇駕駛F-16V，和她父親的座駕一樣。  齊巴特服役後首個調派指令，就是被派往駐韓美軍群山空軍基地第80戰鬥機中隊，和30年前的父親馳騁在同個天空。齊巴特說，在基地內還可以看到父親的名字標籤，她把自己的名字貼在爸爸的旁邊，「這真的是非常酷的經歷」。  目前齊巴特被美國空軍交換至美利堅號兩棲突擊艦並負責駕駛F-35B，和美國第31海軍陸戰遠征隊的海陸戰鬥機第121攻擊中隊「綠色騎士」一同飛翔。  據了解，美國空軍現在共有6名飛行員交換到海陸部隊駕駛F-35，藉此提升各軍種的聯合作戰能力，齊巴特是其中唯一在艦載機上服役的軍官。  齊巴特指出，她的確是首位部署到海軍艦艇上並為兩棲部隊開戰鬥機的空軍飛行員，她認為和F-16相比，F-35B能讓她獲得更多的地面與空中威脅訊息，從而使她成為更有效率的戰機飛行員。  齊巴特說，F-35B的先進技術確實令人印象深刻，自己的訓練模式是起飛後以音速飛行，除了模擬向敵人射擊飛彈，還會透過戰機螢幕看著投擲的炸彈爆炸，而其中最令人愉快的部分是在新環境中駕駛新飛機所帶來的獨特挑戰。  與海軍陸戰隊交流後，齊巴特將帶著這些經驗返回空軍中隊，成為年輕飛行員的教官。其目前所服役的美利堅號兩棲突擊艦，是美國遠征打擊集團第31海軍陸戰遠征隊的旗艦，正部署於美國第7艦隊行動區，以強化和盟國、合作夥伴的相互配合，並捍衛印度太平洋地區的和平與穩定。 軍情動態》美軍F-35B正妹飛行員 縱橫南海威嚇中國 - 國際 - 自由時報電子報 又帥又漂亮！美國空軍上尉飛行員齊巴特（Melanie Ziebart）出身軍旅世家，目前轉調到部署於印太地區的美利堅號兩棲突擊艦（USS America）駕駛最新型的F-35B戰鬥機，而美利堅號近來多次航行南海並起降F-35，震懾對南海諸島充滿野....,22,2020-03-21T17:26:15.000+08:00,,第七舰队
Rick Yang,［今日南海］ 1，美國空軍RC-135U在南海執行任務（15:29) 在執行南海任務之後，美國空軍RC-135U 返回了嘉手納空軍基地。  補充： 美軍 RC-135U 電子偵察機「全球正在服役僅有兩架」，美國日前將其中一架從美國本土轉移部署在日本沖繩嘉手納美國空軍基地，用來捕捉北韓試射「洲際彈道飛彈」的跡象。  2，美國第七艦隊官網於台灣時間早上約六時許，發布訊息，美軍伯克級神盾驅逐艦在南海上作實彈演練的照片。  ?感想： 偵察洲際導彈的RC-135U，美軍全球唯二的偵察機飛到南海執行任務，並且讓神盾艦在南海上滯留，這代表著什麼，真的是值得去探討。  局勢正在變動中，不知道維尼撐得住嗎？  以上，有錯請指正！ Photos from Rick Yang's post,4,2020-03-19T17:03:27.000+08:00,,第七舰队
Rick Yang,美國機器在南海動??非常厲害！  沒事多翻翻第七艦隊跟美國國防部網站以及推特 https://mobile.twitter.com/AircraftSpots  可以發現美軍在武漢肺炎當下，作了何種應對跟南海在最近美軍動得有多厲害，當然，北極圈也開始變得不平靜了！,1,2020-03-16T08:30:36.000+08:00,,第七舰队
李東昇,嚇唬山東號！林肯、雷根、福特齊聚台灣！林肯號尼米茲級航空母艦來了！雷根號尼米茲級航空母艦來了！福特號福特級超級航空母艦來了！美利堅號美利堅級雷霆航母來了！好人查理號黃鋒級雷霆航母來了！選舉期間，美國為了保護台灣安全，美國派遣五艘航空母艦跟第七艦隊協防台灣！  中國首艘自製航空母艦上月17日在海南省三亞軍港正式服役，命名為「山東艦」，舷號17，未來預計部署在中國南方，有中國媒體表示，「山東艦」很可能在南海與外國軍艦對峙，結果在通過台灣海峽前，「山東艦」就在南海與美國核動力航艦「林肯號」（USS Abraham Lincoln CVN-72）不期而遇。  上月17日正式服役的中國航空母艦「山東艦」，26日在護衛艦伴隨下由南而北通過台灣海峽，由於當時距離台灣總統大選僅剩下十幾天，引發外界揣測，國防部強調，國軍全程均有監控、應處，可確保國家安全與維護區域和平穩定，籲請國人放心。  近日推特上流傳一張疑似中國衛星「高分三號」所拍攝到的衛星照，「山東艦」出航準備通過台海之際，在南海遭遇到美國核動力航艦「林肯號」，當時「林肯號」離開中東海域預計前往菲律賓海，24日在提康德羅加級（Ticonderoga class）巡洋艦「 錢斯勒斯維爾號」（CG-62，Chancellorsville）護航下進入南海。  在耶誕節當天（25日），「林肯號」於南海遭遇到準備北上前往台海的「山東艦」戰鬥群，衛星照顯示，面對「林肯號」，中國「山東艦」戰鬥群組成三角隊形，3艘護衛艦保護居中的「山東艦」，周圍還有預計前往印度洋的中國海軍第34批護航編隊，該護航編隊由飛彈驅逐艦「銀川艦」、飛彈護衛艦「運城艦」以及綜合補給艦「微山湖艦」組成。  根據公開資料顯示，「林肯號」航母排水量破10萬噸，「山東艦」不到7萬噸，「林肯號」艦載機數量達90架，彈射器發射起飛，「山東艦」艦載機36架，採滑躍起飛，另外動力部分，「林肯號」由核反應爐驅動，「山東艦」則為常規動力。  https://news.ltn.com.tw/news/world/breakingnews/3026598 衛星照曝光！中國「山東艦」疑南海對峙美航艦「林肯號」 - 國際 - 自由時報電子報 中國首艘自製航空母艦上月17日在海南省三亞軍港正式服役，命名為「山東艦」，舷號17，未來預計部署在中國南方，有中國媒體表示，「山東艦」很可能在南海與外國軍艦對峙，結果在通過台灣海峽前，「山東艦」就在南海與.....,38,2020-01-01T12:31:02.000+08:00,,第七舰队
