孙宇成??,??海军第七舰队发言人莫姆森11月21日表示:美国近海战舰吉福兹號20日航行到美济礁12海里内. 驱逐舰迈耶号于21日在帕拉塞尔群岛（西沙群岛）行使无害通过权. 这些行动以法治为基础表明我们致力于维护所有国家享有的权利.自由和对… https://t.co/i29Ku6i2VT,161,2019-11-23T03:26:01.000+08:00,,第七舰队
耿炎 Yan Media,美国国防部长称中共是头等担忧，美国远征打击群加入第七舰队， 中美脱钩又一个重要理由    耿炎木兰谈 2020/02/17  https://t.co/H4faYWMRAq via @YouTube ,31,2020-02-17T11:54:17.000+08:00,,第七舰队
木兰传奇(文奇）,罗斯福号航母战斗群与美国远征打击群在第七舰队海域部署进行联合军演   https://t.co/JefKZSkXFQ via @Gnews202064,41,2020-02-16T16:22:57.000+08:00,,第七舰队
孙宇成??,根据??海军和公共数据，这些是截至2019年12月10日美国海军已部署的航母打击小组和两栖准备小组的大致位置！ 負責印太地區安全的美國第七艦隊的各種戰艦數量最多?55艘?? ,15,2019-12-11T07:01:07.000+08:00,,第七舰队
凤凰九天(phoenix9heavens),大动作！ 据韩联社今天报道，美战略武器纷纷临近韩半岛引关注。以美军核动力航母“西奥多·罗斯福”号（CVN-71）为首的第9航母打击群当地时间17日从位于美国加州圣迭戈的母港起航，预计将在第七舰队的作战地区  西太平洋等海域执行任务… https://t.co/ye18tK4u2S,9,2020-01-20T00:11:57.000+08:00,,第七舰队
中共推特第一支部??,1954年8月24日，毛泽东会见英国工党代表团时指出：“美国这样的大国如果不要和平，我们就不得安宁，大家也不得安宁。”毛泽东说：“美国人做的事太不像样子，他们支持蒋介石差不多每天都骚扰大陆。所以你们最好劝劝美国人把第七舰队拿走。几… https://t.co/R1Z8jsiDpE,1,2020-02-15T17:40:20.000+08:00,,第七舰队
trashtalkman_9噏佬,@liberateHK14 @DonttreadonH 成日話香港人唔夠共產黨鬥 共產黨又夠美國佬鬥咩 美國佬立心玩死你 第七艦隊一封馬六甲就得啦 知唔知當年日本點死呀 山本1942年就叫皇軍投降啦 共產黨係夠gut屎嘅 快手出兵打柒第七艦隊啦 做世界老二無運行架懵撚!,2,2019-10-13T16:44:59.000+08:00,,第七舰队
Koby C 坂本晉作,https://t.co/Z5rZrx3iCX 殲滅中國南海艦隊對第七艦隊來說只是小菜一碟 唯一缺少的就是導火線！,2,2019-10-05T17:55:51.000+08:00,,第七舰队
Evan Su??,成全我们？你们是偷喝了多少孟婆汤啊？阻拦我们加入WTO的是谁？阻拦我们恢复联合国席位的是谁？炸我们大使馆的是谁？把第七舰队开进台湾海峡的是谁？战斗机开进我们临空的是谁？号召大家都来反对我们的是谁？粗暴干涉我国香港事务的是谁？ https://t.co/h69nooT9mx,1,2019-11-02T00:07:02.000+08:00,,第七舰队
?笑笑??,@VOAChinese 这是什么前途假设？美国的情报系统吃屎的吗？中共这么大的军事行动一点不知道？等开战了美军才集结？要我说不等开战，第七舰队就会驶入台湾海峡,0,2020-02-25T08:09:55.000+08:00,,第七舰队
空中瑜珈初心者Hana,@KamiliaHaraQoo @TYUIJKOL 第七艦隊是壓制中國，但也有壓制ROCAF的意味吧? Not on my watch.,0,2020-02-18T09:55:57.000+08:00,,第七舰队
ジャムル?フィン中佐,#コロナばっかりで気が滅入るから艦船舟艇載せようぜ  USS Blue Ridge LCC-19 アメリカ海軍第七艦隊の旗艦です。 ,2,2020-02-29T23:23:48.000+08:00,,第七舰队
猪血旗下,驻港部队价值千万的巨型木雕惊呆了美国海军第七舰队司令:原来军费可以这样花… ,2,2019-09-25T14:04:14.000+08:00,,第七舰队
Roger H.P. Ng ????????#台灣人戰鬥#PrayforKyoAni,@IsaacChen2012 日本海自跟米國海軍第七艦隊平常演習訓練有來有去，並不是米軍可以輕鬆樂勝的等級，支那粹街坊軍海軍遇到日本海自會重演明治27、28年日清戰爭的結局,1,2019-10-04T11:38:23.000+08:00,,第七舰队
X-瞭望美利坚,美国海军LPD-18 新奥尔良号两栖登陆舰（圣安东尼奥级第4艘）加入美国海军第七舰队，驻地日本佐世保海军基地。 https://t.co/DywZITmmsM,3,2019-12-03T18:16:17.000+08:00,,第七舰队
かおり??,第七艦隊では間に合わないから各国からの応援。 それでも、かなり厳しい状況かと???。 https://t.co/PXlJcTrU5g,2,2019-09-26T14:53:00.000+08:00,,第七舰队
没余粮的地主,@brother_chui 香港一地之力即使武装起来，也难以战胜中共  犹如台湾，若不是当年美国第七舰队开进台湾海峡，以及后来的美台关系法，台湾能否守到今天？ 香港、台湾问题，归根结底是中美关系问题 港人不必激烈抗争贵在坚持。想… https://t.co/T0mx7rfVOv,6,2019-11-13T19:22:43.000+08:00,,第七舰队
空中瑜珈初心者Hana,@chowmin0420 名義上不是還是ROC MoD管的嗎? 之前不是有ROC空軍在驅逐支軍時的廣播流出來，只是講了個「立刻離開」就有人覺得好帥(攤手)  倒是美軍第七艦隊一直在秀肌肉，臉書連載。,0,2020-02-18T09:46:54.000+08:00,,第七舰队
MSN 台灣,#MSN台灣 美國海軍第七艦隊指控：中國軍艦以「武器級雷射光」照射美軍反潛偵查機 https://t.co/HenssRxPqT,1,2020-02-28T18:40:59.000+08:00,,第七舰队
勿忘六四 Never Forget June 4,第七舰队说，事件发生在关岛以西大约380英里的公海上空，当时，这架海神式侦察机是按照国际规章在国际领空运作，中国海军舷号为161的驱逐舰对其进行了激光照射。第七舰队说，这一行为是“不安全和不专业的”，而且违反了2014年西太海军论… https://t.co/a433kxhzeI,3,2020-02-28T23:29:11.000+08:00,,第七舰队
iamapoldfriend,解放军入阵轰香港人权法 罕指驻港军队随时听指挥 https://t.co/gGtSVw1saJ 来自 @RFI_Cn 我们美国第七舰队也在待命用对伊拉克战争的方式几十万发巡航导弹对准中国的目标。,1,2019-11-29T06:13:55.000+08:00,,第七舰队
Roger H.P. Ng ????????#台灣人，戰鬥！,@gaspardhsin @cs0312000 八二三是靠米國武器、米國海軍第七艦隊協助運補加上台灣充員兵守住的…,1,2019-10-25T20:48:29.000+08:00,,第七舰队
YAHUI ZHANG,@JamesQUAN10 @YouTube 美国第七舰队回归中国的怀抱是早晚的事情。到那个时间，美国还剩什么？黄石公园的火山，环太平洋千疮百孔的大陆架～,1,2019-12-10T08:35:09.000+08:00,,第七舰队
fff,ええ、ロナルドレーガンと第七艦隊は中国にとっては目の上のタンコブ。  中国が先日国慶節の70周年パレードでお披露目した最新兵器は米国への牽制。それだけ日本に駐留する米軍の存在を意識しているということでしょうね。  #中国脅威 https://t.co/dqOcw838hW,1,2019-10-23T22:32:55.000+08:00,,第七舰队
徐亮,@VOAChinese 这帮人智障吧？站上面跳就胜利了？巨婴啊哈哈哈，像韩国人一样用牙咬行么？攻占警察总部，港英旗插到礼宾府，击退香港驻军，等到美国第七舰队来增员，你们再跳我也能佩服你们，虽然政见不同,0,2019-09-23T08:17:56.000+08:00,,第七舰队
Jacob,在中美最敏感的台湾问题上，2018年3月美帝参议院以100:0的罕见比例，全票通过了《台湾旅行法》，彻底推翻了1979年以来对台湾的法律定位，事实上赋予了台湾主权实体地位。不仅如此，第七舰队重返台海，美海军陆战队进驻。,0,2019-12-11T09:03:35.000+08:00,,第七舰队
禁闻网,蒋介石尘封照片公开 好帅 - 禁闻网 https://t.co/qHKQF7BXMu #宋氏三姐妹 #宋美龄 #画面 #第七舰队 #航空母舰 #蒋中正 #蒋介石 #蒋经国 #陈纳德,0,2020-01-30T08:06:02.000+08:00,,第七舰队
禁闻网,蒋介石尘封照片公开 好帅 - 禁闻网 https://t.co/qHKQF7BXMu #宋氏三姐妹 #宋美龄 #画面 #第七舰队 #航空母舰 #蒋中正 #蒋介石 #蒋经国 #陈纳德,0,2020-01-30T08:06:02.000+08:00,,第七舰队
禁闻网,蒋介石尘封照片公开 好帅 - 禁闻网 https://t.co/qHKQF7BXMu #宋氏三姐妹 #宋美龄 #画面 #第七舰队 #航空母舰 #蒋中正 #蒋介石 #蒋经国 #陈纳德,0,2020-01-30T08:06:02.000+08:00,,第七舰队
飛虎?香港????,罗斯福号航母战斗群与美国远征打击群在第七舰队海域部署进行联合军演 - Gnews https://t.co/Sk6qPGWsYa,3,2020-02-16T18:47:54.000+08:00,,第七舰队
工农兵大学生现在教授的祖师爷,@VOAChinese 美国利用法律制定了台湾军售，高官访台，自由航行，香港人权等等一系列法案把中国欺负成新东亚病夫。邓小平和美国共同污蔑毛泽东和文革，可毛泽东打赢韩战打赢越战，让美国主动和好并且撤出台湾驻军和第七舰队。制造了一个令中国人无比自豪的时代。,0,2019-10-16T09:16:41.000+08:00,,第七舰队
Roger H.P. Ng ????????#台灣人戰鬥#PrayforKyoAni,北朝鮮朝鮮人民軍海軍的新浦級SSB將對日本的國防形成新的挑戰，作為米國海軍第七艦隊門下優等生的海上自衛隊雖然反潛戰力無庸置疑是世界最尖端，但問題在於潛對地彈道飛彈的對應，未來勢必要讓陸基神盾完工運轉、甚至考慮引進THAAD，海自在… https://t.co/ZvQDyApyng,0,2019-10-06T12:38:36.000+08:00,,第七舰队
YAHUI ZHANG,@AndyBankwest @Crystalmadam88 美国第七舰队的费用一直是由中国皇室支付，你说美国的太平洋军队究竟是谁的？穷得连联合国费用都付不起，还谈什么其它的真金白银？！,1,2019-10-13T10:21:29.000+08:00,,第七舰队
worldedit,@xiaocao01 @bbcchinese 中华民国没有第七舰队，人民现在研究如何入党，学习习大大讲话。,0,2019-09-23T07:43:40.000+08:00,,第七舰队
Donald Wong,2.1 美國向來是決定因素：當年韓戰爆發第七艦隊入海峽，阻止了“解放台灣”。最近美國NBA向中共道歉事件和鎮壓香港學生事件使美國人逐漸覺醒，兩黨一致的台灣保證法、F16軍售和香港人權法案都是證據。結合最近愈演愈烈的彈劾川普案，中共… https://t.co/jwjRUtBkof,2,2019-11-22T15:05:09.000+08:00,,第七舰队
湊奈姆,@shucaileibaozha 轰20量产，三航母战斗群部署，无人反舰快艇彻底放飞自我，PLA在第二岛链内能硬扛第七舰队的时候？,0,2020-02-29T01:39:38.000+08:00,,第七舰队
忠奸人,日本红区党对美七成，现在你支红区党标准对第七舰队＋热本自卫队七成，瓦房店了,0,2020-03-01T00:29:13.000+08:00,,第七舰队
工农兵大学生现在教授的祖师爷,美国利用法律制定了台湾军售，高官访台，自由航行，香港人权等等一系列法案把中国欺负成新东亚病夫。邓小平和美国共同污蔑毛泽东和文革，可毛泽东打赢韩战打赢越战，让美国主动和好并且撤出台湾驻军和第七舰队。却制造了一个令中国人无比自豪的时代。 https://t.co/OiaYSYkBha,0,2019-10-16T08:55:13.000+08:00,,第七舰队
A Chinese,@RFA_Chinese 台语就是福建话，中国的闽南话。客家话就是南方话，中国的客家话。语言保护不了台湾独立，美国的第七舰队才能。台湾是没有地区自治体吗，学校要不要教非国语地区自决好了，讲这种假大空的屁话。,0,2019-11-07T06:45:59.000+08:00,,第七舰队
青天白日耀中華,@PDChinese 就这？拾到的人家二手的破烂害搁这儿显摆呢？敢开进台湾海峡不得被人第七舰队打成废铁？,0,2019-12-18T12:37:56.000+08:00,,第七舰队
Roger H.P. Ng ????????#台灣人，戰鬥！,@KogarashiragaKo ROC與米國的共同防衛條約時代就只以防衛台澎為原則了，1958年台海危機時米國海軍第七艦隊只護航往金門的運輸船團到距離金門三海里的原因也正是如此,0,2019-10-27T21:14:33.000+08:00,,第七舰队
